Homogenous,Core _Shell
2.92E-10,0.000695108
5.83E-10,0.000716263
8.75E-10,0.000737825
1.17E-09,0.000759793
1.46E-09,0.000782167
1.75E-09,0.000804944
2.04E-09,0.000828122
2.33E-09,0.0008517
2.62E-09,0.000875675
2.92E-09,0.000900046
3.21E-09,0.000924809
3.50E-09,0.000949963
3.79E-09,0.000975505
6.29E-07,0.00100143
7.74E-07,0.001027737
9.39E-07,0.001054422
1.13E-06,0.001081482
1.34E-06,0.001108912
1.57E-06,0.001136708
1.84E-06,0.001164868
2.13E-06,0.001193385
2.44E-06,0.001222256
2.79E-06,0.001251476
3.18E-06,0.00128104
3.59E-06,0.001310942
4.04E-06,0.001341178
4.52E-06,0.001371742
5.05E-06,0.001402629
5.61E-06,0.001433832
6.21E-06,0.001465344
6.85E-06,0.001497161
7.54E-06,0.001529276
8.27E-06,0.001561681
9.05E-06,0.001594369
9.88E-06,0.001627335
1.08E-05,0.001660571
1.17E-05,0.001694068
1.27E-05,0.00172782
1.37E-05,0.001761819
1.48E-05,0.001796058
1.59E-05,0.001830527
1.71E-05,0.001865218
1.84E-05,0.001900124
1.97E-05,0.001935236
2.11E-05,0.001970544
2.25E-05,0.002006041
2.40E-05,0.002041717
2.56E-05,0.002077564
2.72E-05,0.002113571
2.89E-05,0.00214973
3.07E-05,0.002186031
3.26E-05,0.002222465
3.45E-05,0.002259022
3.65E-05,0.002295692
3.86E-05,0.002332465
4.07E-05,0.002369332
4.30E-05,0.002406282
4.53E-05,0.002443306
4.77E-05,0.002480394
5.02E-05,0.002517535
5.28E-05,0.002554719
5.54E-05,0.002591935
5.82E-05,0.002629175
6.10E-05,0.002666426
6.40E-05,0.00270368
6.70E-05,0.002740925
7.01E-05,0.002778152
7.33E-05,0.00281535
7.66E-05,0.002852509
8.00E-05,0.002889618
8.35E-05,0.002926668
8.72E-05,0.002963648
9.09E-05,0.003000548
9.47E-05,0.003037359
9.86E-05,0.003074069
0.000102679,0.003110669
0.000106828,0.00314715
0.000111089,0.003183501
0.000115462,0.003219713
0.00011995,0.003255776
0.000124553,0.003291681
0.000129274,0.003327418
0.000134113,0.003362978
0.000139073,0.003398352
0.000144154,0.00343353
0.000149358,0.003468505
0.000154686,0.003503267
0.000160141,0.003537808
0.000165722,0.003572119
